epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,556.434,0.90128,0.80547,0.96313,0.68291,0.59566,0.62153,0.42074,1.03223,1.12963,1.00714,0.000776098,0.000776098,0.000776098
71,564.15,0.89321,0.8117,0.95466,0.56813,0.47199,0.46495,0.29066,1.29265,1.69369,1.1066,0.000775273,0.000775273,0.000775273
72,571.942,0.90307,0.80734,0.96214,0.71555,0.55984,0.61849,0.40349,1.10741,1.1431,1.03,0.000774448,0.000774448,0.000774448
73,579.702,0.90366,0.81797,0.96271,0.5973,0.4861,0.48536,0.31397,1.4131,1.79375,1.18292,0.000773624,0.000773624,0.000773624
74,587.513,0.9341,0.84433,0.97147,0.72059,0.59559,0.64533,0.43155,1.06515,1.09699,1.01614,0.000772799,0.000772799,0.000772799
75,595.234,0.9333,0.8198,0.9801,0.65724,0.60934,0.61628,0.39935,1.10091,1.09016,1.0585,0.000771974,0.000771974,0.000771974
76,603.009,0.92726,0.83423,0.97442,0.7095,0.536,0.5945,0.39491,1.08254,1.33379,1.01696,0.00077115,0.00077115,0.00077115
77,610.669,0.90092,0.81197,0.96489,0.49259,0.41273,0.39675,0.24904,1.38275,1.75627,1.32766,0.000770325,0.000770325,0.000770325
78,618.482,0.90515,0.82818,0.97116,0.64596,0.57572,0.60431,0.39394,1.06846,1.47076,1.06386,0.0007695,0.0007695,0.0007695
79,626.239,0.88936,0.79769,0.95591,0.71032,0.50847,0.55975,0.36494,1.12107,1.35781,1.07623,0.000768676,0.000768676,0.000768676
80,634.004,0.89333,0.79298,0.96581,0.71577,0.62741,0.66833,0.43958,1.01413,1.07843,1.00144,0.000767851,0.000767851,0.000767851
81,641.822,0.90044,0.8083,0.96691,0.72684,0.58121,0.63841,0.42403,1.01587,1.03879,1.01581,0.000767026,0.000767026,0.000767026
82,649.55,0.87958,0.7968,0.94789,0.6382,0.45559,0.48236,0.30371,1.2452,1.4496,1.16226,0.000766202,0.000766202,0.000766202
83,657.336,0.8921,0.8285,0.96434,0.6518,0.46209,0.48523,0.27858,1.33673,1.49203,1.2042,0.000765377,0.000765377,0.000765377
84,665.101,0.91072,0.81296,0.96685,0.67931,0.54183,0.58012,0.37798,1.07277,1.16214,1.02657,0.000764552,0.000764552,0.000764552
85,672.92,0.89467,0.80385,0.9716,0.71213,0.53689,0.62896,0.41503,1.04037,1.12207,1.01808,0.000763728,0.000763728,0.000763728
86,680.723,0.91382,0.79919,0.9641,0.65297,0.46026,0.50916,0.28552,1.29159,1.44835,1.18482,0.000762903,0.000762903,0.000762903
87,688.454,0.87436,0.7564,0.94881,0.68918,0.47458,0.51715,0.33723,1.18235,1.36163,1.10318,0.000762078,0.000762078,0.000762078
88,696.259,0.92422,0.80262,0.96501,0.59966,0.55506,0.55206,0.36741,1.06125,1.2599,1.00779,0.000761254,0.000761254,0.000761254
89,704.092,0.89354,0.8005,0.96538,0.56663,0.53505,0.49083,0.32624,1.10612,1.30849,1.03617,0.000760429,0.000760429,0.000760429
90,711.972,0.87564,0.78017,0.959,0.69454,0.58049,0.62001,0.39804,1.06934,1.1802,1.02638,0.000759604,0.000759604,0.000759604
91,719.759,0.89232,0.78152,0.95287,0.67214,0.61018,0.64613,0.4217,1.06798,1.10772,1.01919,0.00075878,0.00075878,0.00075878
92,727.557,0.88719,0.77153,0.96216,0.64452,0.58722,0.61548,0.41368,1.06411,1.23153,1.01961,0.000757955,0.000757955,0.000757955
93,735.355,0.88765,0.80846,0.96075,0.70677,0.59772,0.62801,0.41621,1.07342,1.12363,1.02784,0.00075713,0.00075713,0.00075713
94,743.148,0.89154,0.76365,0.96716,0.67047,0.57742,0.61297,0.39911,1.06902,1.17394,1.03084,0.000756306,0.000756306,0.000756306
95,750.977,0.87239,0.75301,0.9498,0.68869,0.66296,0.67903,0.46392,0.99262,0.93934,0.98308,0.000755481,0.000755481,0.000755481
96,758.78,0.87238,0.74268,0.93879,0.68842,0.5973,0.6145,0.42259,1.03879,1.08123,1.00105,0.000754656,0.000754656,0.000754656
97,766.54,0.88834,0.74843,0.95155,0.59388,0.54752,0.55284,0.37605,1.05821,1.27206,1.03982,0.000753832,0.000753832,0.000753832
98,774.285,0.87827,0.75792,0.95451,0.65755,0.61474,0.63235,0.42825,1.01762,1.06559,0.99624,0.000753007,0.000753007,0.000753007
