epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,974.17,0.93516,0.84774,0.98006,0.58166,0.4797,0.49451,0.31686,1.26625,1.9597,1.13653,0.0092575,0.0092575,0.0092575
77,981.786,0.96486,0.88847,0.99976,0.50607,0.24044,0.26902,0.15744,1.66054,3.30753,1.44242,0.0092476,0.0092476,0.0092476
78,989.292,0.97604,0.8754,0.99709,0.56784,0.45485,0.45349,0.26934,1.43364,2.04891,1.31068,0.0092377,0.0092377,0.0092377
79,997.077,0.95735,0.83865,0.98467,0.76491,0.55253,0.60691,0.40728,1.06081,1.21284,1.03673,0.0092278,0.0092278,0.0092278
80,1004.67,0.93995,0.85637,0.98012,0.48187,0.39985,0.40266,0.23304,1.43719,2.12261,1.34943,0.0092179,0.0092179,0.0092179
81,1012.37,0.96283,0.86351,0.99727,0.59424,0.3017,0.31304,0.19814,1.59921,2.40667,1.45097,0.009208,0.009208,0.009208
82,1019.98,0.93903,0.84146,0.982,0.64635,0.62195,0.59865,0.38254,1.13834,1.3198,1.07515,0.0091981,0.0091981,0.0091981
83,1027.66,0.93522,0.83175,0.9796,0.39121,0.23154,0.19481,0.10426,2.11346,3.2125,2.19366,0.0091882,0.0091882,0.0091882
84,1035.19,0.95478,0.85128,0.98966,0.70529,0.64596,0.66798,0.44484,1.03847,1.00659,1.02089,0.0091783,0.0091783,0.0091783
85,1042.84,0.94913,0.85891,0.98307,0.70815,0.65205,0.66098,0.44183,1.0698,1.02,1.03366,0.0091684,0.0091684,0.0091684
86,1050.42,0.96032,0.84982,0.98455,0.66645,0.4893,0.53405,0.34038,1.25054,1.76953,1.14172,0.0091585,0.0091585,0.0091585
87,1058.33,0.94992,0.8769,0.98585,0.71376,0.57488,0.61619,0.38949,1.12814,1.15851,1.07217,0.0091486,0.0091486,0.0091486
88,1066.03,0.95406,0.83408,0.97926,0.69123,0.60774,0.62734,0.42512,1.03263,1.13839,1.01441,0.0091387,0.0091387,0.0091387
89,1073.57,0.93251,0.83696,0.98649,0.13478,0.33514,0.20405,0.11274,1.88438,3.5293,1.81056,0.0091288,0.0091288,0.0091288
90,1081.28,0.92901,0.83489,0.97661,0.6553,0.58203,0.59305,0.37542,1.15274,1.36841,1.10026,0.0091189,0.0091189,0.0091189
91,1089.01,0.93709,0.82876,0.97778,0.68186,0.63072,0.65925,0.4432,1.08876,1.09764,1.04267,0.009109,0.009109,0.009109
92,1096.54,0.92537,0.83226,0.97507,0.56921,0.14647,0.12766,0.06314,2.26839,4.36323,2.0449,0.0090991,0.0090991,0.0090991
93,1104.21,0.90719,0.81139,0.97074,0.66117,0.58837,0.61726,0.37755,1.19615,1.21664,1.15439,0.0090892,0.0090892,0.0090892
94,1111.9,0.90309,0.8134,0.97407,0.6099,0.48815,0.56901,0.35966,1.17586,1.39809,1.08589,0.0090793,0.0090793,0.0090793
95,1119.73,0.91285,0.83458,0.97697,0.6713,0.58111,0.61109,0.34397,1.3585,1.41878,1.36874,0.0090694,0.0090694,0.0090694
96,1127.43,0.94011,0.82685,0.98278,0.68414,0.61474,0.63634,0.41712,1.0956,1.12012,1.03635,0.0090595,0.0090595,0.0090595
97,1135.12,0.91115,0.82753,0.97067,0.61012,0.39185,0.40081,0.2213,1.70599,2.55682,1.64004,0.0090496,0.0090496,0.0090496
98,1142.75,0.92403,0.81508,0.98575,0.62906,0.564,0.57968,0.37935,1.10457,1.48916,1.04578,0.0090397,0.0090397,0.0090397
99,1150.54,0.965,0.84294,0.98912,0.06589,0.16507,0.08091,0.04472,2.28728,5.14666,2.13921,0.0090298,0.0090298,0.0090298
