epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,447.846,1.09264,1.11675,1.05469,0.58796,0.57403,0.60202,0.37869,1.12569,1.21746,1.0876,0.0094456,0.0094456,0.0094456
58,455.591,1.09995,1.13579,1.06516,0.47155,0.14643,0.13076,0.04948,2.64154,3.37261,3.67872,0.0094357,0.0094357,0.0094357
59,463.404,1.09354,1.13712,1.06598,0.46927,0.39008,0.42079,0.23015,1.52578,1.7907,1.4408,0.0094258,0.0094258,0.0094258
60,471.247,1.09012,1.12183,1.06057,0.56217,0.49573,0.53636,0.33187,1.31157,1.60184,1.23091,0.0094159,0.0094159,0.0094159
61,479.069,1.11969,1.17961,1.06388,0.36701,0.32602,0.29231,0.12949,2.07826,2.65774,2.41919,0.009406,0.009406,0.009406
62,486.887,1.09189,1.13777,1.05671,0.52281,0.15533,0.13652,0.05486,2.75782,3.76118,4.00537,0.0093961,0.0093961,0.0093961
63,494.65,1.10288,1.15431,1.068,0.5866,0.51465,0.52527,0.31946,1.25821,1.40669,1.16785,0.0093862,0.0093862,0.0093862
64,502.427,1.11486,1.16621,1.06823,0.34424,0.28735,0.25142,0.12278,1.99779,2.8845,2.50075,0.0093763,0.0093763,0.0093763
65,510.227,1.10956,1.1624,1.0704,0.52347,0.46658,0.42756,0.24286,1.47355,1.7634,1.43019,0.0093664,0.0093664,0.0093664
66,518.068,1.06911,1.09189,1.05553,0.59113,0.50526,0.52797,0.30483,1.40119,1.51763,1.37266,0.0093565,0.0093565,0.0093565
67,525.915,1.07223,1.15466,1.05177,0.43673,0.12053,0.12103,0.05949,2.73509,3.30942,4.43948,0.0093466,0.0093466,0.0093466
68,533.725,1.10046,1.14006,1.05666,0.29426,0.15768,0.15857,0.06874,2.50061,4.22982,3.37503,0.0093367,0.0093367,0.0093367
69,541.552,1.06224,1.12711,1.05162,0.48834,0.34551,0.33763,0.17741,1.71648,2.67422,1.81197,0.0093268,0.0093268,0.0093268
70,549.323,1.09594,1.12884,1.06187,0.46366,0.38956,0.37058,0.18754,1.67603,2.03977,1.68375,0.0093169,0.0093169,0.0093169
71,557.174,1.06786,1.0795,1.0405,0.56371,0.10225,0.07705,0.03774,3.23085,4.25571,5.40565,0.009307,0.009307,0.009307
72,564.893,1.04455,1.08331,1.04202,0.31755,0.06507,0.0848,0.03517,2.84738,4.38006,3.77075,0.0092971,0.0092971,0.0092971
73,572.739,1.08249,1.0965,1.05808,0.58565,0.56517,0.60448,0.40217,1.10512,1.20168,1.05861,0.0092872,0.0092872,0.0092872
74,580.511,1.05195,1.07534,1.0333,0.38306,0.11472,0.067,0.02837,3.25376,4.36501,4.79893,0.0092773,0.0092773,0.0092773
75,588.285,1.07802,1.11382,1.04854,0.43345,0.34926,0.35429,0.19156,1.67379,2.01357,1.63506,0.0092674,0.0092674,0.0092674
76,596.054,1.02471,1.03182,1.0335,0.60623,0.58914,0.61322,0.40405,1.10365,1.15631,1.06046,0.0092575,0.0092575,0.0092575
77,603.82,1.06144,1.09399,1.05133,0.41166,0.38072,0.33999,0.18714,1.65272,2.11025,1.71025,0.0092476,0.0092476,0.0092476
78,611.632,1.06311,1.07387,1.04333,0.40398,0.41679,0.35941,0.19611,1.53928,2.47093,1.37407,0.0092377,0.0092377,0.0092377
79,619.466,1.02663,1.02073,1.02341,0.37349,0.29018,0.26148,0.11912,1.99747,2.30529,2.37041,0.0092278,0.0092278,0.0092278
80,627.23,1.06433,1.04104,1.03758,0.56209,0.61692,0.60216,0.38969,1.13772,1.15381,1.0576,0.0092179,0.0092179,0.0092179
81,635.051,1.08213,1.06021,1.05444,0.52571,0.34128,0.37318,0.19749,1.51396,1.87957,1.40236,0.009208,0.009208,0.009208
82,642.818,1.01487,0.98842,1.02393,0.53322,0.60678,0.58094,0.38746,1.10953,1.25345,1.0558,0.0091981,0.0091981,0.0091981
83,650.598,1.00743,1.01053,1.0205,0.39232,0.0957,0.11576,0.05137,2.23858,4.22138,2.25546,0.0091882,0.0091882,0.0091882
84,658.388,1.01772,0.98538,1.02449,0.50598,0.34161,0.33995,0.17476,1.75251,2.49623,1.7793,0.0091783,0.0091783,0.0091783
85,666.211,1.04338,1.01339,1.03042,0.60907,0.40411,0.40831,0.22561,1.59209,1.94854,1.53062,0.0091684,0.0091684,0.0091684
86,674.03,1.05218,1.02646,1.03101,0.39763,0.36003,0.29878,0.13715,1.97816,2.12369,2.3315,0.0091585,0.0091585,0.0091585
87,681.825,1.05988,1.09171,1.03711,0.66659,0.60416,0.62937,0.40814,1.11962,1.12928,1.05118,0.0091486,0.0091486,0.0091486
88,689.714,1.0382,1.01737,1.01886,0.56577,0.60428,0.60228,0.39231,1.12833,1.16908,1.05221,0.0091387,0.0091387,0.0091387
89,697.461,1.02835,1.00548,1.02862,0.46938,0.19134,0.16694,0.05969,2.92344,3.19899,4.30096,0.0091288,0.0091288,0.0091288
90,705.273,1.01408,0.99804,1.02115,0.43004,0.49981,0.4357,0.26685,1.30159,1.58274,1.20128,0.0091189,0.0091189,0.0091189
91,713.18,1.02036,0.98473,1.02099,0.24221,0.16657,0.11248,0.04239,2.88062,3.78121,4.00816,0.009109,0.009109,0.009109
92,720.87,1.00618,0.99192,1.01473,0.61792,0.60363,0.61014,0.40676,1.08113,1.12063,1.04625,0.0090991,0.0090991,0.0090991
93,728.675,1.00718,0.97193,1.02235,0.32384,0.28378,0.23008,0.10212,2.20018,2.9036,2.4879,0.0090892,0.0090892,0.0090892
94,736.531,0.99487,0.96992,1.01964,0.70303,0.60532,0.64151,0.4337,1.04114,1.05015,1.02089,0.0090793,0.0090793,0.0090793
95,744.364,1.00971,0.99242,1.01843,0.64607,0.64246,0.62707,0.41116,1.07136,1.16297,1.0334,0.0090694,0.0090694,0.0090694
96,752.14,1.01414,0.98504,1.01905,0.60969,0.48684,0.49076,0.28046,1.36248,1.41322,1.39013,0.0090595,0.0090595,0.0090595
97,759.941,0.9981,0.98913,1.02428,0.58517,0.59883,0.59976,0.39796,1.11171,1.18405,1.07438,0.0090496,0.0090496,0.0090496
98,767.741,1.02224,0.9877,1.03592,0.45796,0.33464,0.34763,0.18949,1.62532,1.91954,1.65487,0.0090397,0.0090397,0.0090397
99,775.542,1.03143,0.9944,1.03155,0.59389,0.58774,0.57275,0.36892,1.1668,1.1709,1.08993,0.0090298,0.0090298,0.0090298
100,783.305,1.01595,0.96395,1.02629,0.61904,0.59572,0.59063,0.39662,1.06259,1.15148,1.02992,0.0090199,0.0090199,0.0090199
