epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
66,3165.85,0.69663,0.59966,0.15238,0.43912,0.35709,0.39446,0.1896,0.67555,0.74515,0.18872,0.0093565,0.0093565,0.0093565
67,3213.74,0.66678,0.61643,0.15009,0.56607,0.52133,0.53971,0.27238,0.64818,0.68399,0.17525,0.0093466,0.0093466,0.0093466
68,3261.65,0.72444,0.58877,0.15172,0.72761,0.59447,0.61445,0.30989,0.64197,0.65167,0.17632,0.0093367,0.0093367,0.0093367
69,3309.46,0.67811,0.60631,0.149,0.7364,0.60033,0.64937,0.41359,0.53817,0.67213,0.16087,0.0093268,0.0093268,0.0093268
70,3357.15,0.69915,0.59387,0.14035,0.71638,0.61356,0.66019,0.38633,0.53615,0.70838,0.15134,0.0093169,0.0093169,0.0093169
71,3404.92,0.62453,0.61323,0.13557,0.73746,0.60735,0.64102,0.37082,0.56747,0.66994,0.16934,0.009307,0.009307,0.009307
72,3452.67,0.64893,0.57012,0.14361,0.35669,0.42567,0.37261,0.16926,0.7544,0.75668,0.21566,0.0092971,0.0092971,0.0092971
73,3500.5,0.68316,0.58722,0.13411,0.71049,0.60624,0.64801,0.39922,0.51225,0.61379,0.15605,0.0092872,0.0092872,0.0092872
74,3548.18,0.6539,0.58475,0.13898,0.73856,0.62312,0.66022,0.39058,0.52986,0.63146,0.16929,0.0092773,0.0092773,0.0092773
75,3595.95,0.6016,0.61349,0.12463,0.56555,0.60933,0.57497,0.3482,0.57629,0.68927,0.16713,0.0092674,0.0092674,0.0092674
76,3643.62,0.62227,0.58335,0.14009,0.70071,0.52606,0.58906,0.27329,0.66588,0.63952,0.20176,0.0092575,0.0092575,0.0092575
77,3691.49,0.73359,0.57117,0.15646,0.65725,0.59288,0.62538,0.3933,0.51611,0.66714,0.17633,0.0092476,0.0092476,0.0092476
78,3739.1,0.64298,0.59509,0.14531,0.69836,0.56779,0.61002,0.30766,0.67763,0.61816,0.20109,0.0092377,0.0092377,0.0092377
79,3786.69,0.64522,0.61225,0.13289,0.68442,0.55222,0.59367,0.30293,0.56457,0.73585,0.17381,0.0092278,0.0092278,0.0092278
80,3834.47,0.60775,0.64697,0.13012,0.71591,0.62469,0.64964,0.41573,0.50578,0.65675,0.16811,0.0092179,0.0092179,0.0092179
81,3882.19,0.59156,0.58732,0.14334,0.71257,0.61542,0.64596,0.39056,0.52258,0.69906,0.16161,0.009208,0.009208,0.009208
82,3929.9,0.60542,0.60835,0.12857,0.72034,0.64081,0.66334,0.44396,0.45074,0.68433,0.14991,0.0091981,0.0091981,0.0091981
83,3977.78,0.55848,0.58783,0.12421,0.68733,0.57816,0.61683,0.37866,0.50488,0.70756,0.17991,0.0091882,0.0091882,0.0091882
84,4025.47,0.75353,0.6342,0.17053,0.64983,0.54565,0.57022,0.30926,0.5965,0.68654,0.18821,0.0091783,0.0091783,0.0091783
85,4073.19,0.72088,0.62662,0.15124,0.61158,0.4975,0.52846,0.26422,0.60951,0.71014,0.18474,0.0091684,0.0091684,0.0091684
86,4121.17,0.68578,0.5818,0.15762,0.71785,0.58047,0.63866,0.38316,0.57676,0.67158,0.17695,0.0091585,0.0091585,0.0091585
87,4168.95,0.63852,0.605,0.14171,0.7535,0.60015,0.65371,0.38851,0.52364,0.68942,0.16238,0.0091486,0.0091486,0.0091486
88,4216.79,0.62949,0.60025,0.13705,0.74854,0.60907,0.68426,0.42792,0.49331,0.63754,0.15505,0.0091387,0.0091387,0.0091387
89,4264.53,0.62822,0.56074,0.13784,0.6732,0.60283,0.63946,0.35856,0.59966,0.631,0.17587,0.0091288,0.0091288,0.0091288
90,4312.3,0.60588,0.58793,0.13537,0.6659,0.57024,0.57795,0.30651,0.61366,0.68955,0.18034,0.0091189,0.0091189,0.0091189
91,4360.04,0.57458,0.61102,0.13063,0.69583,0.60132,0.61643,0.36352,0.55181,0.68406,0.16326,0.009109,0.009109,0.009109
92,4407.64,0.5883,0.61404,0.13368,0.59616,0.55019,0.55831,0.32433,0.54564,0.68815,0.1647,0.0090991,0.0090991,0.0090991
93,4455.23,0.61429,0.60883,0.14016,0.76346,0.57094,0.6188,0.37032,0.55629,0.63692,0.16236,0.0090892,0.0090892,0.0090892
94,4502.98,0.59863,0.60686,0.13957,0.74839,0.63374,0.66904,0.40794,0.52503,0.6618,0.17038,0.0090793,0.0090793,0.0090793
95,4551.14,0.66852,0.58029,0.14889,0.71279,0.6019,0.62463,0.33712,0.59698,0.66942,0.18361,0.0090694,0.0090694,0.0090694
96,4599.17,0.63864,0.5771,0.13945,0.7125,0.61058,0.63341,0.39507,0.54161,0.66226,0.16406,0.0090595,0.0090595,0.0090595
97,4647.47,0.57883,0.56506,0.12645,0.72231,0.6332,0.67614,0.41824,0.52139,0.63828,0.17033,0.0090496,0.0090496,0.0090496
98,4695.68,0.62143,0.57978,0.13527,0.53196,0.56034,0.53212,0.2699,0.66264,0.70744,0.1791,0.0090397,0.0090397,0.0090397
99,4743.88,0.66204,0.56086,0.13974,0.67955,0.649,0.65633,0.38498,0.56739,0.63627,0.17067,0.0090298,0.0090298,0.0090298
100,4792.05,0.57924,0.56388,0.13041,0.72449,0.67584,0.68902,0.41554,0.55971,0.58118,0.16508,0.0090199,0.0090199,0.0090199
101,4840.35,0.65779,0.56084,0.14144,0.70147,0.64705,0.68046,0.43064,0.50435,0.60909,0.16932,0.00901,0.00901,0.00901
102,4888.62,0.55016,0.5914,0.11881,0.71184,0.60954,0.64736,0.39401,0.54266,0.66364,0.1689,0.0090001,0.0090001,0.0090001
103,4936.99,0.61061,0.5764,0.13182,0.74274,0.57487,0.63678,0.38374,0.54946,0.67096,0.16203,0.0089902,0.0089902,0.0089902
104,4985.15,0.6271,0.57306,0.13256,0.64128,0.5679,0.56687,0.28602,0.6593,0.67668,0.18649,0.0089803,0.0089803,0.0089803
